artists,song_name
glass animals,heat waves
the kid laroi & justin bieber,stay
kodak black,super gremlin
gayle,abcdefu
"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast",we don't talk about bruno
justin bieber,ghost
adele,easy on me
imagine dragons x jid,enemy
lil nas x,thats what i want
ed sheeran,bad habits
ed sheeran,shivers
doja cat,woman
elton john & dua lipa,cold heart (pnau remix)
latto,big energy
megan thee stallion & dua lipa,sweetest pie
doja cat,need to know
the weeknd & ariana grande,save your tears
lil durk,ahhh ha
dua lipa,levitating
gunna & future featuring young thug,pushin p
lil nas x & jack harlow,industry baby
cody johnson,'til you can't
post malone & the weeknd,one right now
lil durk featuring gunna,what happened to virgil
sza,i hate u
lil durk featuring future,petty too
muni long,hrs and hrs
becky g x karol g,mamiii
jessica darrow,surface pressure
lil durk,no interviews
doja cat & the weeknd,you right
olivia rodrigo,good 4 u
charlie puth,light switch
lil durk,golden child
jordan davis featuring luke bryan,buy dirt
walker hayes,fancy like
kevin gates featuring juicy j,thinking with my dick
lauren spencer-smith,fingers crossed
camila cabello featuring ed sheeran,bam bam
russ featuring ktlyn,handsomer
ckay,love nwantiti (ah ah ah)
"dierks bentley, breland & hardy",beers on me
lil durk featuring morgan wallen,broadway girls
morgan wallen,sand in my boots
luke combs,doin' this
nirvana,something in the way
drake featuring 21 savage & project pat,knife talk
lil durk,barbarian
dove cameron,boyfriend
parker mccollum,to be loved by you
cole swindell / lainey wilson,never say never
walker hayes,aa
lil durk,shootout @ my crib
em beihold,numb little bug
lil durk,started from
elle king & miranda lambert,drunk (and i don't wanna go home)
"stephanie beatriz, olga merediz & encanto cast",the family madrigal
lil durk,headtaps
tate mcrae,she's all i wanna be
lil durk,smoking & thinking
sam hunt,23
thomas rhett,slow down summer
fireboy dml & ed sheeran,peru
tiesto & ava max,the motto
lil durk,grow up/keep it on speaker
nicki minaj x lil baby,do we have a problem?
diane guerrero & stephanie beatriz,what else can i do?
jack harlow,nail tech
lil durk,blocklist
"nardo wick, lil baby & future",me or sum
eric church,heart on fire
sebastian yatra,dos oruguitas
lil durk featuring summer walker,difference is
maren morris,circles around this town
tyga x doja cat,freaky deaky
miranda lambert,if i was a cowboy
yung bleu & kehlani,beautiful lies
ernest featuring morgan wallen,flower shops
the weeknd,sacrifice
silk sonic (bruno mars & anderson .paak),smokin out the window
jnr choi & sam tompkins,to the moon!
gunna featuring drake,p power
the chainsmokers,high
ari lennox,pressure
lil durk,federal nightmares
gucci mane featuring lil durk,rumors
carly pearce & ashley mcbryde,never wanted to be that girl
kelsea ballerini featuring kenny chesney,half of my hometown
the walters,i love you so
gunna,banking on me
hardy,give heaven some hell
labrinth & zendaya,i'm tired
imagine dragons,bones
lil shordie scott,rocking a cardigan in atlanta
lil durk,pissed me off
rod wave,by your side
stephanie beatriz,waiting on a miracle
youngboy never broke again,i hate youngboy
"fivio foreign, kanye west & alicia keys",city of gods
saweetie featuring h.e.r.,closer
